key,raw_name,translation
taihou rq,taihou rq,
dva magical girl,dva magical girl,
meteorite,meteorite,
shizuku oikawa,shizuku oikawa,
mcdonalds mom,mcdonalds mom,
pomni,pomni,
rem nurse,rem nurse,
tamamo maid,tamamo maid,
asuma toki,asuma toki,
miyu edelfeit,miyu edelfeit,
red hood,red hood,
rem swimsuit,rem swimsuit,
roon,roon,
asuka langley soryu jk,asuka langley soryu jk,
helen parr,helen parr,
houshou marine bunny,houshou marine bunny,
kirari moroboshi kimono,kirari moroboshi kimono,
link,link,
aru rikuhachima,aru rikuhachima,
misato katsuragi latex,misato katsuragi latex,
suite darkness,suite darkness,
bridget,bridget,
feixiao,feixiao,
jean,jean,
sanae kochiya,sanae kochiya,
shouko komi,shouko komi,
miku maekawa casual,miku maekawa casual,
naruto uzumaki,naruto uzumaki,
takao jk,takao jk,
herta,herta,
ash,ash,
kochikame,kochikame,
kokomi sangonomiya,kokomi sangonomiya,
yuyuko saigyouji,yuyuko saigyouji,
fumika sagisawa,fumika sagisawa,
kaoruko sazaki,kaoruko sazaki,
meltryllis,meltryllis,
akeno himejima,akeno himejima,
nero maid,nero maid,
gal police 24h,gal police 24h,
ichika nakamasa,ichika nakamasa,
illya lingerie,illya lingerie,
scathach maid,scathach maid,
taihou bath,taihou bath,
transparent maid,transparent maid,
azyth,azyth,
usagiyama,usagiyama,
burnice,burnice,
kanu unchou,kanu unchou,
chika fujiwara,chika fujiwara,
kazusa kyouyama,kazusa kyouyama,
beidou,beidou,
march 7th lingerie,march 7th lingerie,
eris,eris,
hilda,hilda,
joy to the world,joy to the world,
meirin,meirin,
nero swimsuit,nero swimsuit,
rizu kyun,rizu kyun,
ruby hoshino,ruby hoshino,
bb summer,bb summer,
cat & papillon,cat & papillon,
lemon yakishio pe,lemon yakishio pe,
lenfriedom dl card prototype,lenfriedom dl card prototype,
mary,mary,
tifa lockhart latex,tifa lockhart latex,
airi totoki,airi totoki,
kiriko kamori,kiriko kamori,
nurse yuri,nurse yuri,
sailor moon,sailor moon,
sumire hikami kimono,sumire hikami kimono,
taihou bunny,taihou bunny,
tamaki kotatsu,tamaki kotatsu,
shani,shani,
umaru,umaru,
blake belladonna,blake belladonna,
illyasviel von einzbern,illyasviel von einzbern,
laffey bunny,laffey bunny,
nezha,nezha,
riamu yumemi cow,riamu yumemi cow,
riven,riven,
yelan bikini,yelan bikini,
mika jougasaki,mika jougasaki,
morgan le fay,morgan le fay,
sailor venus,sailor venus,
2b casual,2b casual,
maid latex,maid latex,
mika jougasaki lingerie,mika jougasaki lingerie,
mona megistus bikini,mona megistus bikini,
officer stocking,officer stocking,
shining,shining,
kuki shinobu,kuki shinobu,
taiga aisaka,taiga aisaka,
frieren lingerie,frieren lingerie,
pecorine swimsuit,pecorine swimsuit,
jeanne alter bunny,jeanne alter bunny,
vk,vk,
christmas elf,christmas elf,
klee,klee,
marika the eternal,marika the eternal,
non the bitch,non the bitch,
siege,siege,
musashi berserker,musashi berserker,
weiss schnee,weiss schnee,
crimvael,crimvael,
nekomata okayu,nekomata okayu,
scarlet suite,scarlet suite,
tamamo no mae maid,tamamo no mae maid,
anya forger,anya forger,
blood elf,blood elf,
inugami korone,inugami korone,
princess,princess,
raiden shogun bikini,raiden shogun bikini,
setsuna,setsuna,
burnice white,burnice white,
eriri spencer sawamura,eriri spencer sawamura,
ochaco,ochaco,
ranma saotome,ranma saotome,
haguro,haguro,
hoshou marine bikini,hoshou marine bikini,
keqing dress,keqing dress,
liliel,liliel,
platinum,platinum,
alya,alya,
ganyu cowkini,ganyu cowkini,
rapi swimsuit,rapi swimsuit,
heket,heket,
sheryl nome,sheryl nome,
shiroko sunaookami swimsuit,shiroko sunaookami swimsuit,
tsuyu asui,tsuyu asui,
death the kid,death the kid,
formidable miko,formidable miko,
kirari moroboshi,kirari moroboshi,
tomoe gozen,tomoe gozen,
marciana,marciana,
regina,regina,
rukia,rukia,
black canary,black canary,
kamoi,kamoi,
luna snow,luna snow,
